epsilon,psi_radians,gap,quadratic,ratio_to_quadratic
0.03,1.980948701013564,0.0005196500223540358,0.0005196152422706632,1.0000669343016586
0.03,1.9896753472735358,0.0005196450484913202,0.0005196152422706632,1.0000573620983995
0.03,1.9984019935335073,0.0005196404206474232,0.0005196152422706632,1.000048455808667
0.03,2.007128639793479,0.0005196361515161471,0.0005196152422706632,1.0000402398616957
0.03,2.0158552860534504,0.0005196322528082134,0.0005196152422706632,1.0000327367947788
0.03,2.0245819323134224,0.0005196287352180068,0.0005196152422706632,1.0000259671892697
0.03,2.033308578573394,0.000519625608394569,0.0005196152422706632,1.0000199496147582
0.03,2.0420352248333655,0.0005196228809156317,0.0005196152422706632,1.000014700579096
0.03,2.050761871093337,0.000519620560263818,0.0005196152422706632,1.0000102344825983
0.03,2.059488517353309,0.0005196186528042316,0.0005196152422706632,1.0000065635749125
0.03,2.0682151636132806,0.0005196171637707197,0.0005196152422706632,1.000003697928583
0.03,2.076941809873252,0.0005196160972480421,0.0005196152422706632,1.0000016454047327
0.03,2.0856684561332237,0.000519615456161681,0.0005196152422706632,1.0000004116334555
0.03,2.0943951023931953,0.000519615242270784,0.0005196152422706632,1.0000000000002325
0.03,2.1031217486531673,0.0005196154561617814,0.0005196152422706632,1.0000004116336487
0.03,2.111848394913139,0.000519616097248146,0.0005196152422706632,1.0000016454049327
0.03,2.1205750411731104,0.0005196171637711401,0.0005196152422706632,1.0000036979293918
0.03,2.129301687433082,0.0005196186528045129,0.0005196152422706632,1.000006563575454
0.03,2.138028333693054,0.000519620560263548,0.0005196152422706632,1.0000102344820785
0.03,2.1467549799530254,0.00051962288091572,0.0005196152422706632,1.000014700579266
0.03,2.155481626212997,0.0005196256083947577,0.0005196152422706632,1.0000199496151212
0.03,2.1642082724729685,0.000519628735217914,0.0005196152422706632,1.0000259671890912
0.03,2.17293491873294,0.0005196322528082346,0.0005196152422706632,1.0000327367948196
0.03,2.181661564992912,0.0005196361515162606,0.0005196152422706632,1.000040239861914
0.03,2.1903882112528836,0.0005196404206472625,0.0005196152422706632,1.0000484558083578
0.03,2.199114857512855,0.0005196450484913953,0.0005196152422706632,1.0000573620985438
0.03,2.2078415037728267,0.000519650022354094,0.0005196152422706632,1.0000669343017707
0.03,2.2165681500327987,0.0005196553285927703,0.0005196152422706632,1.0000771461628646
0.03,2.2252947962927703,0.0005196609526534852,0.0005196152422706632,1.0000879696727567
0.03,2.234021442552742,0.0005196668791110425,0.0005196152422706632,1.0000993751456437
0.03,2.2427480888127134,0.000519673091711515,0.0005196152422706632,1.0001113313008274
0.03,2.251474735072685,0.0005196795734162458,0.0005196152422706632,1.000123805347398
0.03,2.260201381332657,0.0005196863064500038,0.0005196152422706632,1.0001367630769067
0.03,2.2689280275926285,0.0005196932723484367,0.0005196152422706632,1.0001501689546912
0.03,2.2776546738526,0.0005197004520097478,0.0005196152422706632,1.0001639862193268
0.03,2.2863813201125716,0.000519707825745987,0.0005196152422706632,1.0001781769813356
0.03,2.2951079663725436,0.0005197153733390344,0.0005196152422706632,1.0001927023309278
0.03,2.303834612632515,0.00051972307409388,0.0005196152422706632,1.000207522440538
0.03,2.3125612588924866,0.0005197309068976138,0.0005196152422706632,1.000222596678352
0.03,2.321287905152458,0.000519738850274602,0.0005196152422706632,1.0002378837144934
0.03,2.3300145514124297,0.0005197468824488883,0.0005196152422706632,1.0002533416411148
0.03,2.3387411976724017,0.0005197549814008746,0.0005196152422706632,1.0002689280814796
0.03,2.3474678439323733,0.0005197631249293397,0.0005196152422706632,1.0002846003093178
0.03,2.356194490192345,0.0005197712907118792,0.0005196152422706632,1.0003003153651422
0.03,2.3649211364523164,0.0005197794563663496,0.0005196152422706632,1.0003160301744976
0.03,2.3736477827122884,0.0005197875995111984,0.0005196152422706632,1.0003317016640658
0.03,2.38237442897226,0.0005197956978288675,0.0005196152422706632,1.0003472868836867
0.03,2.3911010752322315,0.0005198037291245888,0.0005196152422706632,1.0003627431195088
0.03,2.399827721492203,0.0005198116713891214,0.0005196152422706632,1.0003780280147283
0.03,2.4085543677521746,0.0005198195028574173,0.0005196152422706632,1.000393099682491
0.03,2.4172810140121466,0.0005198272020699798,0.0005196152422706632,1.0004079168239761
0.03,2.426007660272118,0.0005198347479297813,0.0005196152422706632,1.0004224388379348
0.03,2.4347343065320897,0.000519842119761222,0.0005196152422706632,1.000436625934157
0.03,2.443460952792061,0.0005198492973665467,0.0005196152422706632,1.000450439242045
0.03,2.452187599052033,0.0005198562610808133,0.0005196152422706632,1.0004638409163997
0.03,2.4609142453120048,0.0005198629918264514,0.0005196152422706632,1.0004767942424198
0.03,2.4696408915719763,0.0005198694711635113,0.0005196152422706632,1.0004892637324052
0.03,2.478367537831948,0.0005198756813428194,0.0005196152422706632,1.0005012152280564
0.03,2.4870941840919194,0.000519881605352533,0.0005196152422706632,1.0005126159900657
0.03,2.4958208303518914,0.0005198872269656477,0.0005196152422706632,1.000523434789549
0.03,2.504547476611863,0.0005198925307830641,0.0005196152422706632,1.000533641990926
0.03,2.5132741228718345,0.0005198975022782061,0.0005196152422706632,1.0005432096377878
0.03,2.522000769131806,0.0005199021278338398,0.0005196152422706632,1.0005521115237554
0.03,2.530727415391778,0.0005199063947809111,0.0005196152422706632,1.0005603232672227
0.03,2.5394540616517496,0.0005199102914332336,0.0005196152422706632,1.000567822378114
0.03,2.548180707911721,0.0005199138071186306,0.0005196152422706632,1.000574588317815
0.03,2.5569073541716927,0.0005199169322084091,0.0005196152422706632,1.000580602555898
0.03,2.5656340004316642,0.0005199196581447095,0.0005196152422706632,1.0005858486227541
0.03,2.5743606466916362,0.0005199219774618335,0.0005196152422706632,1.0005903121506403
0.03,2.5830872929516078,0.000519923883808278,0.0005196152422706632,1.0005939809160833
0.03,2.5918139392115793,0.0005199253719635694,0.0005196152422706632,1.0005968448722768
0.03,2.600540585471551,0.0005199264378517987,0.0005196152422706632,1.0005988961751306
0.03,2.609267231731523,0.0005199270785546887,0.0005196152422706632,1.0006001292084172
0.03,2.6179938779914944,0.0005199272923173423,0.0005196152422706632,1.000600540594836
0.03,2.626720524251466,0.000519927078554814,0.0005196152422706632,1.0006001292086584
0.03,2.6354471705114375,0.00051992643785188,0.0005196152422706632,1.000598896175287
0.03,2.644173816771409,0.000519925371963473,0.0005196152422706632,1.0005968448720914
0.03,2.652900463031381,0.0005199238838084064,0.0005196152422706632,1.0005939809163304
0.03,2.6616271092913526,0.000519921977461831,0.0005196152422706632,1.0005903121506354
0.03,2.670353755551324,0.0005199196581447078,0.0005196152422706632,1.0005858486227506
0.03,2.6790804018112957,0.0005199169322085607,0.0005196152422706632,1.0005806025561896
0.03,2.6878070480712677,0.0005199138071185503,0.0005196152422706632,1.0005745883176604
0.03,2.6965336943312392,0.0005199102914331376,0.0005196152422706632,1.000567822377929
0.03,2.705260340591211,0.0005199063947808959,0.0005196152422706632,1.0005603232671936
0.03,2.7139869868511823,0.0005199021278336759,0.0005196152422706632,1.00055211152344
0.03,2.722713633111154,0.0005198975022783078,0.0005196152422706632,1.0005432096379834
0.03,2.731440279371126,0.0005198925307834153,0.0005196152422706632,1.000533641991602
0.03,2.7401669256310974,0.0005198872269655615,0.0005196152422706632,1.0005234347893832
0.03,2.748893571891069,0.0005198816053524331,0.0005196152422706632,1.0005126159898734
0.03,2.7576202181510405,0.0005198756813427785,0.0005196152422706632,1.0005012152279773
0.03,2.7663468644110125,0.0005198694711635352,0.0005196152422706632,1.0004892637324514
0.03,2.775073510670984,0.0005198629918264815,0.0005196152422706632,1.0004767942424775
0.03,2.7838001569309556,0.0005198562610808567,0.0005196152422706632,1.0004638409164832
0.03,2.792526803190927,0.0005198492973665868,0.0005196152422706632,1.0004504392421223
0.03,2.8012534494508987,0.0005198421197612247,0.0005196152422706632,1.0004366259341624
0.03,2.8099800957108707,0.0005198347479297074,0.0005196152422706632,1.0004224388377925
0.03,2.8187067419708423,0.0005198272020700321,0.0005196152422706632,1.0004079168240767
0.03,2.827433388230814,0.0005198195028575353,0.0005196152422706632,1.000393099682718
0.03,2.8361600344907854,0.0005198116713892382,0.0005196152422706632,1.000378028014953
0.03,2.8448866807507573,0.0005198037291247106,0.0005196152422706632,1.000362743119743
0.03,2.853613327010729,0.0005197956978287657,0.0005196152422706632,1.0003472868834906
0.03,2.8623399732707004,0.0005197875995113227,0.0005196152422706632,1.0003317016643052
0.03,2.871066619530672,0.0005197794563663079,0.0005196152422706632,1.0003160301744172
0.03,2.8797932657906435,0.0005197712907120477,0.0005196152422706632,1.0003003153654664
0.03,2.8885199120506155,0.0005197631249294601,0.0005196152422706632,1.0002846003095496
0.03,2.897246558310587,0.0005197549814009752,0.0005196152422706632,1.0002689280816732
0.03,2.9059732045705586,0.0005197468824487266,0.0005196152422706632,1.0002533416408035
0.03,2.91469985083053,0.0005197388502747667,0.0005196152422706632,1.0002378837148103
