beta,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.1,12,2,6002,576,1633,0.352648511136911,199.34674389484695,199.34658853237772,0.2488814589035327,1994.2916313539645,8.673617514602226,0.9500114847704193,-0.4157824527724869,-0.33436683131708145
0.4,4,2,6002,64,161,1.3862329219949827,88.63186715682231,88.63185448337471,0.04739770549667016,221.44544044412328,11.125157523460288,0.9979930221354344,-0.31938187842746013,-0.24672858672796638
0.4,6,2,6002,144,385,1.383810271764538,199.0861450764546,199.08608740788932,0.15153224536629475,498.5050158365556,16.65157809085996,0.9980562243800728,-0.2440692099656087,-0.19580711943234647
0.4,8,2,6002,256,705,1.3867072038441302,354.65728622901463,354.65724536073003,0.17026000155107912,886.7419752995903,22.254979583911794,0.9980512447499859,-0.2629884423412567,-0.21168571838289085
0.4,10,2,6002,400,1121,1.3865956883366477,554.0764442265989,554.0763213620955,-0.36898867087629394,1386.0446466150981,27.816686551451042,0.9978603354628741,-0.27055348036034643,-0.21420216032839942
0.4,12,2,6002,576,1633,1.3857204501942395,797.367415984493,797.3671256566013,0.6804380334391812,1994.2916313539645,33.36122342721916,0.9978409674225058,-0.27449044372573017,-0.21402470016070613
0.0,4,3,6003,64,161,0.08798735523195467,0.08690897840353438,-0.05238879705132904,-0.06934395770837329,221.91742739783615,0.7972108351530097,-0.4438342215786669,-0.4447677329350901,-0.3529189295832524
0.0,6,3,6003,144,385,0.08749532991898068,0.12357011704757283,-0.11063852469347246,-0.055033541416146706,499.26768362408876,1.1787862662954425,-0.42631860351939527,-0.42702980599421164,-0.34067705955546435
0.0,8,3,6003,256,705,0.08861930099052945,0.0402644751757621,-0.028057568407172884,0.028879072288707203,886.8443542082138,1.5860620201242546,-0.4062180163304636,-0.4062652180541821,-0.33181000921135245
0.0,10,3,6003,400,1121,0.08902922913405618,0.0736561793365018,-0.006989191779045445,0.07332382936485682,1385.157791791861,1.99953798676714,-0.4023106575493537,-0.4023143590174578,-0.32605561394266713
0.0,12,3,6003,576,1633,0.09146972080551877,0.1430381419319599,-0.12026875775419654,0.07742955479408296,1994.1819751366702,2.4695844464885783,-0.4102670397169128,-0.410327311287875,-0.33288166175386114
0.1,4,3,6003,64,161,0.35123187590565197,22.162589618584903,22.16232503070495,-0.10829513006677378,221.91742739783615,2.891833001038848,0.9611288961975157,-0.4482347002348755,-0.34566913605108907
0.1,6,3,6003,144,385,0.35118209334946254,49.780259865973456,49.7802108839643,-0.06983317184544041,499.26768362408876,4.318914664992805,0.9590880317221487,-0.4257587612718236,-0.33386099008265935
0.1,8,3,6003,256,705,0.3521070838180494,88.61959611440155,88.61933385384536,-0.2155986557248945,886.8443542082138,5.76689401559089,0.9542369728121314,-0.39966656799962474,-0.3211922777314997
0.1,10,3,6003,400,1121,0.3524046101752413,138.57742229900074,138.57741810241922,0.03410429426429688,1385.157791791861,7.219834939703093,0.9545133311269208,-0.3961427862319162,-0.3157167069073397
0.1,12,3,6003,576,1633,0.35200077865698476,199.02485575060143,199.02479105789592,0.1604708963474918,1994.1819751366702,8.66730618865442,0.9517362237399293,-0.404047988219581,-0.32335717663098235
0.4,4,3,6003,64,161,1.3883513503046923,88.80675192017135,88.80646651397379,-0.22514864714197416,221.91742739783615,11.15198277369344,0.9987308674047931,-0.4070479772036289,-0.26650251157797156
0.4,6,3,6003,144,385,1.386058749669499,199.452791821852,199.45275910993757,-0.11423206313333717,499.26768362408876,16.68867544571156,0.998474538334476,-0.3371706728140722,-0.23661408380045898
0.4,8,3,6003,256,705,1.3861826235422035,354.5627782243778,354.561508120603,-0.9490318397657305,886.8443542082138,22.250508265649287,0.9981375164414529,-0.27913098054049607,-0.19994026736301754
