realization,shape,parameter,cells,area,perimeter,boundary_edges,W_real,W_imag,boundary_W_real,boundary_W_imag,identity_error,normalized_gap,deterministic_bound
2,radial,4.69041575982343,19,65.75391721658174,34.50863208163292,30,0.038645456390959065,-0.015617268674997964,0.03864545639095987,-0.015617268674999234,1.503435908504739e-15,0.00031695279098911336,0.008336552225608777
2,radial,7.615773105863909,55,190.11738290317118,62.26213605333879,54,0.05946891014140565,-0.24681386176628245,0.05946891014141181,-0.24681386176628975,9.552636907210516e-15,0.0006676854004646211,0.0041043358096712656
2,radial,10.488088481701515,97,336.0975795752954,90.72805985481794,78,0.043758265698143006,-0.009396643016143041,0.043758265698146885,-0.009396643016149113,7.204784224082539e-15,6.658157455083232e-05,0.003513565162076146
2,radial,15.748015748023622,223,773.2722334389728,131.8190643382301,114,0.04484532837359323,0.0012367866924041793,0.044845328373577895,0.0012367866923984755,1.6361352702271476e-14,2.900814087579622e-05,0.002086225030913179
2,radial,20.97617696340303,397,1375.7804922001185,173.02846213550782,150,0.03024691403128532,-0.11737113633072027,0.030246914031241988,-0.11737113633071553,4.359253773853159e-14,4.404985256394929e-05,0.001448662380541842
3,rhombus,2,4,13.789160075257573,16.222726630730314,14,-0.08042405602723868,-0.013527246998723055,-0.08042405602723766,-0.013527246998723118,1.015001515024161e-15,0.002957169111633763,0.014128665282846847
3,rhombus,4,16,55.34028682468377,34.68038351669894,30,-0.06501053041212934,0.009087122627112573,-0.0650105304121275,0.009087122627111813,1.996017789629844e-15,0.0005930810762917333,0.00984814135866707
3,rhombus,7,49,170.35683900731252,62.637013941040394,54,-0.1172486519308431,-0.04008084426140468,-0.11724865193084852,-0.04008084426139348,1.2438624903475229e-14,0.0003636781807108905,0.005511146660666478
3,rhombus,10,100,346.0305684278568,90.38575076801602,78,-0.07055184585035734,-0.13130307734388652,-0.07055184585037687,-0.13130307734388574,1.9541507118904226e-14,0.00021538160863149829,0.0037090401177445166
3,rhombus,15,225,778.9079846056898,136.05387568877623,118,-0.13382254704792285,0.14226447353732707,-0.13382254704793586,0.14226447353731805,1.5837371333314914e-14,0.00012537696971096337,0.002311351541555613
3,rhombus,20,400,1385.8852324047034,182.78014707955353,158,-0.05413655945166118,-0.028985576284140432,-0.05413655945172346,-0.028985576284133875,6.262083605222656e-14,2.215475812609629e-05,0.0016291776681662806
3,radial,2.8284271247461903,7,24.004133186660635,20.62149909054523,18,0.0433355744914401,-0.03545585390160977,0.043335574491441216,-0.03545585390160905,1.329970755006984e-15,0.0011662964526823645,0.0122906834066315
3,radial,4.69041575982343,19,65.60730682503146,34.45380138710979,30,-0.00425234904194749,-0.0188865762045944,-0.004252349041946733,-0.018886576204593213,1.407107771042182e-15,0.0001475397453147656,0.0065202005231258875
