beta,realization,seed,max_relative_junction_residual,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.02,8,5008,0.010000984023127333,324,901,0.10659233391497984,22.20956147500579,22.20899775342984,0.1582393762928353,1121.1982832087413,2.130953863296945,0.15181241057391856,-0.39420323271774776,-0.32241394009930563
0.05,8,5008,0.02501546722204179,324,901,0.186564058289809,55.77770979157419,55.77740706341307,0.18376853753818018,1121.1982832087413,3.554571604116045,0.7940098491217236,-0.3911875574920038,-0.3201388532461782
0.1,8,5008,0.05012558178485819,324,901,0.35108038650405726,111.72498513471892,111.72475591338511,0.22631713961376368,1121.1982832087413,6.452129906233159,0.9536722225961716,-0.3803934812174764,-0.31059277979477795
0.2,8,5008,0.10101723437177255,324,901,0.6929402807670731,223.6196704523495,223.6194536133292,0.31141434376490845,1121.1982832087413,12.560399796107202,0.9901232723611519,-0.34184046012676295,-0.2741694716161508
0.4,8,5008,0.20743246339160634,324,901,1.3822642200153101,447.4091082245891,447.40884901321743,0.4816087520672109,1121.1982832087413,24.95206626714384,0.9979116547573573,-0.2285397806418898,-0.17576239666438154
0.0,9,5009,4.709676158327481e-15,324,901,0.08910285824045466,0.024193458615218735,-0.002234065327976431,-0.024090089079881694,1122.3381415459066,1.8100227007756706,-0.39225273218434087,-0.39225173607425634,-0.31377712198405355
0.02,9,5009,0.010000949321379179,324,901,0.10934437038953816,22.424912083669927,22.424909158317963,-0.011454322883836826,1122.3381415459066,2.199608627804799,0.13747933610919527,-0.3925497703944383,-0.3136961158393706
0.05,9,5009,0.025015518180257483,324,901,0.18716248211071218,56.06562449534107,56.065623993786886,0.007499326410237914,1122.3381415459066,3.6086156890532033,0.7937202446639673,-0.3902899358500042,-0.3114278406336534
0.1,9,5009,0.05012278496137297,324,901,0.3517332503363147,112.1334888658967,112.13348205290173,0.03908874190036257,1122.3381415459066,6.498998597233807,0.9572658845390116,-0.38014693824423923,-0.30226948788401
0.2,9,5009,0.1010166447921008,324,901,0.6945717528095844,224.26922148832344,224.26919817113142,0.102267572880613,1122.3381415459066,12.612437734347962,0.9913279508614905,-0.3417698707536301,-0.26825552954402626
0.4,9,5009,0.20689413077099722,324,901,1.3855828987834045,448.5406886737668,448.5406304075908,0.2286252348410912,1122.3381415459066,25.02746886950456,0.9981773547578701,-0.23413453701400794,-0.17869089401712474
0.0,10,5010,4.253022786284628e-15,324,901,0.08659425492198825,0.09829990457065248,0.08398806961670413,-0.051077151454041014,1121.2998494606186,1.7520359425384855,-0.4121497237752983,-0.41217936682784756,-0.33238336657379963
0.02,10,5010,0.010000997132930041,324,901,0.10735366504764032,22.517501179264436,22.517480673690102,-0.030388619052793275,1121.2998494606186,2.156912466492104,0.1517224767635396,-0.41322791951616844,-0.3328768288763803
0.05,10,5010,0.02501562230329687,324,901,0.1859017021358795,56.1677195834942,56.16771957980019,0.000644179549049495,1121.2998494606186,3.5875714510089627,0.8186363047150433,-0.4120362907784364,-0.3309837911742705
0.1,10,5010,0.050124882116133015,324,901,0.35180542280811467,112.25146330428699,112.25145108998366,0.05236551055214314,1121.2998494606186,6.492546426021847,0.9607504161078222,-0.4028058915873619,-0.32132903768589294
0.2,10,5010,0.10101618649896453,324,901,0.6949772618957195,224.41896819711022,224.4189141103506,0.15580817255833526,1121.2998494606186,12.615961836791437,0.99182295876364,-0.3610575165423702,-0.2836781675045314
0.4,10,5010,0.20615064540228709,324,901,1.386272804331833,448.75398671980355,448.75384015108455,0.36269349657071437,1121.2998494606186,25.039140869520978,0.9981767536362371,-0.24270621800959138,-0.1854251966701737
0.0,11,5011,4.676321251282546e-15,324,901,0.08987878576620756,0.18007196049098273,0.1729097445912049,-0.050280524862717293,1122.439441829135,1.8360896882477569,-0.41132146608436093,-0.41122442750421023,-0.32955667265745764
0.02,11,5011,0.010000998140836825,324,901,0.11071803261286535,22.612038946975478,22.61200160448943,-0.0410947454477385,1122.439441829135,2.227716963133686,0.11329067242490705,-0.4104920635979759,-0.32872956725354324
0.05,11,5011,0.02501562448929932,324,901,0.189142063385633,56.27064602450828,56.270639394336754,-0.027316076325283628,1122.439441829135,3.6326754659294274,0.7756663047408348,-0.40707329300634776,-0.32540060284853195
0.1,11,5011,0.05012456222992163,324,901,0.3533457192012213,112.36836912834386,112.36836904408231,-0.004351627787839679,1122.439441829135,6.51991638688429,0.9507782242286795,-0.3951829146642537,-0.3147023387916415
0.2,11,5011,0.10099871909767764,324,901,0.6960446314384275,224.56383219252214,224.56382834357345,0.04157726928704519,1122.439441829135,12.633245262224523,0.9892414466167708,-0.35350320167179666,-0.2785976446633628
0.4,11,5011,0.20669609553321291,324,901,1.3871725764199874,448.95476677185457,448.95474694255563,0.13343506343680117,1122.439441829135,25.052594947974573,0.997596869870312,-0.23958228713766813,-0.18709467721171283
0.0,12,5012,4.871851152968257e-15,324,901,0.08597258102892924,0.16580771359299395,-0.0012621450938885559,0.16580290973531883,1122.845431124794,1.7277358272466956,-0.39429368698613193,-0.39434261510512236,-0.32489072054014806
0.02,12,5012,0.010000970112297483,324,901,0.10604410782850922,22.480662296952524,22.47987545000804,0.18808790962858732,1122.845431124794,2.131073026742556,0.17168096531314847,-0.3936097653586893,-0.3241703122005998
0.05,12,5012,0.02501526736960913,324,901,0.18683592344737246,56.20201838629951,56.20158184266094,0.22151540946847292,1122.845431124794,3.5696354277519475,0.8073347827705255,-0.3905685331550284,-0.3210016094459973
0.1,12,5012,0.05012544307492569,324,901,0.35263490045042867,112.40476769950234,112.40442583041579,0.27722790920163565,1122.845431124794,6.484874718020624,0.9570597429643286,-0.38057008575687984,-0.31045231483565167
0.2,12,5012,0.100971078135779,324,901,0.696271016071583,224.81044975827206,224.81011380592545,0.3886529086679546,1122.845431124794,12.62293298803013,0.9911461510882034,-0.34428799567884855,-0.2737851600331455
0.4,12,5012,0.20636555243675173,324,901,1.3888687586729933,449.6219055907535,449.6214897569448,0.6115029076005924,1122.845431124794,25.07103978140249,0.9981918700748426,-0.2367478658003691,-0.17915193870762353
0.0,13,5013,5.205450022858113e-15,324,901,0.0889062207188201,0.0690941205176604,0.06538326770821312,0.022338885243116197,1122.1960816174699,1.8101623185181386,-0.42492915385937946,-0.42493241560715905,-0.33710356372014416
0.02,13,5013,0.010000992012913495,324,901,0.10858307478730225,22.471639221456535,22.47161831991137,-0.030649364221796843,1122.1960816174699,2.1964634189425034,0.1317159357674288,-0.42298501171676195,-0.33675316190040133
0.05,13,5013,0.025015643785423248,324,901,0.18842019334677562,56.08107903639488,56.08097089821611,-0.11013173841914367,1122.1960816174699,3.6026029957475756,0.7810355996379973,-0.4172618343846694,-0.3334376583155179
0.1,13,5013,0.05012449546759465,324,901,0.3527913048373042,112.09682105166823,112.09655852872399,-0.24260236208140865,1122.1960816174699,6.490221778010652,0.9484371578617367,-0.4004154452801153,-0.32082326905561454
0.2,13,5013,0.10101675682491705,324,901,0.6946988435779083,224.12830846245174,224.12773378973978,-0.5075436094059289,1122.1960816174699,12.599124908698071,0.9890888307510247,-0.3459144720827889,-0.2749557444041315
0.4,13,5013,0.20641938647661745,324,901,1.3847044145892398,448.1912849758617,448.19008431177133,-1.0374261040549604,1122.1960816174699,25.005477876375327,0.9977940084801002,-0.2102416854364988,-0.15960352800505878
0.0,14,5014,4.467750170512212e-15,324,901,0.08522894439961427,0.1599810002515404,0.028030155762595932,-0.15750628815830808,1121.8696355051793,1.7063677815568887,-0.3868142576488423,-0.38666419329674917,-0.32186452204674115
0.02,14,5014,0.010000977689299896,324,901,0.10454260780052191,22.47620092827485,22.47565353037262,-0.1568647533126296,1121.8696355051793,2.113991128620775,0.1839968578064778,-0.3869693959966063,-0.3211188576122981
0.05,14,5014,0.02501560066763694,324,901,0.18630218293262654,56.147305037414206,56.147088592287645,-0.155902451044112,1121.8696355051793,3.5574620400357846,0.8130700570698329,-0.38494720547925676,-0.31754886753648004
0.1,14,5014,0.0501246652020172,324,901,0.3523229032193373,112.26625306278486,112.2661470288127,-0.15429861392992064,1121.8696355051793,6.4731473137047795,0.9564199946013298,-0.3746909119835336,-0.3054647452611315
0.2,14,5014,0.10101717830401459,324,901,0.6954823857665063,224.5043147438136,224.50426390186283,-0.15109093970153484,1121.8696355051793,12.605578152428475,0.9906859029387545,-0.33222490908882957,-0.26372078145256483
0.4,14,5014,0.20627902990125965,324,901,1.387079410279405,448.9805209574679,448.98049764796303,-0.14467559124475604,1121.8696355051793,25.038482126524986,0.9979645615664511,-0.2068368571786867,-0.15987503091227523
0.0,15,5015,3.595580221090439e-15,324,901,0.08597383148196187,0.1410366439488387,-0.024875890724157745,-0.13882551997752884,1122.1779300653084,1.7458017252469167,-0.4064919328882843,-0.4065664910670908,-0.3301589997193781
0.02,15,5015,0.010000992208141593,324,901,0.10696232435532027,22.41033372366837,22.409836405603027,-0.1492979581138208,1122.1779300653084,2.1451438779086396,0.15505841633615253,-0.40565383441224667,-0.3296817661081688
0.05,15,5015,0.025015479165280022,324,901,0.18609928485986546,56.06214768098053,56.06190485009381,-0.1650066153182856,1122.1779300653084,3.5743055698671795,0.8131288980716158,-0.4019986820002222,-0.32681786711097677
0.1,15,5015,0.050124986440782136,324,901,0.3519097650188311,112.14884855632663,112.14868559091175,-0.1911877106590431,1122.1779300653084,6.479284745808884,0.9573267984830462,-0.3903878680235759,-0.3166977434355806
0.2,15,5015,0.10101904193796167,324,901,0.6949057734472964,224.32237928533024,224.32224707254767,-0.24354990134056237,1122.1779300653084,12.602578047407093,0.9908254238098816,-0.35050956444300013,-0.28105378072281056
0.4,15,5015,0.20688345778347847,324,901,1.3860522054016053,448.669505207692,448.66937003581955,-0.3482742827035986,1122.1779300653084,25.024872928735817,0.9980247354557792,-0.2486478676173932,-0.18978362933988008
0.0,16,5016,5.714747793427799e-15,324,901,0.09209494749893082,0.13573996706270822,0.12919346688470723,-0.04164596946278433,1122.1803872770663,1.8915747932872813,-0.4269944227171878,-0.4269043881742451,-0.3478049995831786
