eta,realization,cells,perturbed_generators,mean_local_gap,maximum_local_gap,regional_gap,normalized_gap,boundary_norm,identity_error
0.1,6,361,81,0.052777482317984736,0.5089641350971447,6.821337475921128e-13,2.7273552825182515e-16,7.182957223360836e-14,8.587096832914534e-13
0.1,7,361,81,0.04414150413194871,0.3373631434773158,2.2778233937060994e-13,9.107354221070958e-17,7.122700639467759e-14,1.770327461716073e-13
0.1,8,361,81,0.04626786759917058,0.4016335480755932,1.3642883633997482e-12,5.454794001808312e-16,7.308457971937205e-14,8.578215048717533e-13
0.1,9,361,81,0.04990068883134634,0.45079883080504163,9.094955077839773e-13,3.63640911527587e-16,7.244890543134356e-14,5.05976458577789e-13
0.1,10,361,81,0.04667041386820793,0.34138994719691856,2.8171909249863347e-14,1.1263891543624895e-17,7.182957223360836e-14,2.781586939247069e-13
0.1,11,361,81,0.049506709153057056,0.41607743870885877,2.274598028053002e-13,9.094458336527671e-17,7.508544558138422e-14,1.7436821091250691e-13
0.1,12,361,81,0.05571405997023691,0.4910115727132407,6.822215809283407e-13,2.727706463960876e-16,7.308457971937205e-14,5.064205477876391e-13
0.1,13,361,81,0.04353123650274753,0.4099093139588265,2.142730437526552e-14,8.567216031210265e-18,7.373617247278041e-14,5.211728611102504e-14
0.1,14,361,81,0.0432628108945937,0.3574991529739123,2.2782603064647014e-13,9.10910111649195e-17,7.244890543134356e-14,6.308919186383713e-13
0.1,15,361,81,0.052167805851168265,0.42420020320041585,6.821436135009901e-13,2.7273947290912843e-16,7.122700639467759e-14,1.187209306487785e-12
0.1,16,361,81,0.05265410637063506,0.48805200877322885,4.547474940350097e-13,1.8182035186594264e-16,7.244890543134355e-14,4.035182431951392e-13
0.1,17,361,81,0.04387069707600252,0.305281816280083,4.547577870596554e-13,1.8182446729568633e-16,7.373617247278041e-14,1.7525638933220701e-13
0.1,18,361,81,0.04994632814680426,0.3969372829973214,6.826008903110337e-13,2.729223045499683e-16,7.308457971937205e-14,4.0307415398528913e-13
0.1,19,361,81,0.05311898242765121,0.42713389903878934,2.2808610157562555e-13,9.119499455893354e-17,7.244890543134356e-14,1.7614456775190714e-13
0.2,0,361,81,0.09732097844943022,0.9895536276546392,4.547973645846812e-13,1.8184029146101012e-16,7.308457971937205e-14,1.1885415741173353e-12
0.2,1,361,81,0.09012672292311079,0.8035456591999924,2.274090452116027e-13,9.09242891060075e-17,7.244890543134356e-14,4.035182431951392e-13
0.2,2,361,81,0.09683358151882837,0.9636601616414627,2.2737695513115037e-13,9.091145862360621e-17,7.44032654709111e-14,6.295596510088211e-13
0.2,3,361,81,0.09837048318035367,0.7877230270460505,1.3322676295501878e-14,5.326766444275811e-18,7.182957223360836e-14,5.078501848147484e-14
0.2,4,361,81,0.09900564233802028,1.393635595273091,2.274864112972278e-13,9.095522216027468e-17,7.064163698735051e-14,7.320178663914709e-13
0.2,5,361,81,0.10012184773048191,0.9115874191590235,1.8984813721090177e-14,7.590642183093029e-18,7.508544558138422e-14,2.8037913997395723e-13
0.2,6,361,81,0.11445842049686157,1.1341860418464231,2.27383403913089e-13,9.0914037021105e-17,7.308457971937205e-14,4.0307415398528913e-13
0.2,7,361,81,0.09116709839932317,0.729318715511092,4.547527718650152e-13,1.81822462085177e-16,7.122700639467761e-14,4.044064216148393e-13
0.2,8,361,81,0.09909651117142539,0.8256762153174695,2.276582698125083e-13,9.102393584452661e-17,7.182957223360836e-14,7.32906044811171e-13
0.2,9,361,81,0.10652186462983315,1.201496555089446,4.547898496257505e-13,1.8183728677710316e-16,7.244890543134356e-14,6.308919186383713e-13
0.2,10,361,81,0.09500931263236452,0.7444624035485516,6.82187458147604e-13,2.7275700318511536e-16,7.244890543134356e-14,1.6428448357939493e-12
0.2,11,361,81,0.10263184386147975,0.914851249754859,3.3584246494910985e-15,1.342789041161194e-18,7.373617247278041e-14,5.068646369974892e-13
0.2,12,361,81,0.11491809587997977,1.0062027592079283,2.277900614975192e-13,9.107662972597948e-17,7.122700639467757e-14,2.7771460471485686e-13
0.2,13,361,81,0.09103910464054468,0.8741253173062677,2.273753034347285e-13,9.091079823068811e-17,7.12270063946776e-14,1.7703274617160726e-13
0.2,14,361,81,0.09282554267423598,0.8083678632809239,4.551206511044749e-13,1.8196955015853665e-16,7.37361724727804e-14,6.300037402186711e-13
0.2,15,361,81,0.10903501832096203,0.871265017885588,4.547682289223122e-13,1.8182864223489396e-16,7.508544558138423e-14,8.564892372422031e-13
0.2,16,361,81,0.11128618199035459,1.0681967399658239,4.547595479973307e-13,1.818251713662133e-16,7.244890543134356e-14,6.308919186383713e-13
0.2,17,361,81,0.09097497020108714,0.8058938605169823,4.548261393010383e-13,1.8185179637114488e-16,7.373617247278039e-14,1.1889856633271853e-12
0.2,18,361,81,0.10409080782911136,0.8406880882210578,8.659739592076221e-15,3.462398188779278e-18,7.182957223360836e-14,5.078501848147484e-14
0.2,19,361,81,0.10753045918080115,1.041608959059654,2.2751027099188737e-13,9.096476191175285e-17,7.308457971937205e-14,5.064205477876391e-13
