realization,shape,target_n,n,parameter,sum_W_real,sum_W_imag,total_area,delta_total,area_normalized_delta,orientation_null_squared,area_normalized_null_squared
3,rhombus,4,4,2.0,-0.08042405602723868,-0.013527246998723055,13.789160075257573,0.08155375649985037,0.005914338223267526,0.03344942762197644,0.00017591912819695454
3,disk,4,7,2.8284271247461903,0.0433355744914401,-0.03545585390160977,24.004133186660635,0.055991870770634646,0.002332592905364729,0.03822887853295338,6.634672686810137e-05
3,rhombus,16,16,4.0,-0.06501053041212934,0.009087122627112573,55.34028682468377,0.06564255374455336,0.0011861621525834666,0.13396955144274353,4.374448337094162e-05
3,disk,16,19,4.69041575982343,-0.00425234904194749,-0.0188865762045944,65.60730682503146,0.01935937067950565,0.0002950794906295312,0.12277606434063286,2.8523925072894268e-05
3,rhombus,49,49,7.0,-0.1172486519308431,-0.04008084426140468,170.35683900731252,0.12391013056367496,0.000727356361421781,0.4824789869477372,1.662490825855045e-05
3,disk,49,55,7.615773105863909,-0.034187812486697666,-0.06273926575247979,190.56173693007653,0.07144943659530062,0.00037494114897534654,0.4899396954695791,1.3491841253626812e-05
3,rhombus,100,100,10.0,-0.07055184585035734,-0.13130307734388652,346.0305684278568,0.14905724092732708,0.00043076321726299657,1.0333738103481007,8.63035217853479e-06
3,disk,100,97,10.488088481701515,-0.18213485080629788,-0.04576029704034963,335.77911013824854,0.1877953904212066,0.0005592825305418392,1.010974439904803,8.966703885647846e-06
3,rhombus,225,225,15.0,-0.13382254704792285,0.14226447353732707,778.9079846056898,0.19531424558707017,0.00025075393942192674,2.361723554341941,3.8927521150761045e-06
3,disk,225,223,15.748015748023622,0.032569167362404894,0.19742969681546252,772.8102937778557,0.2000980655761714,0.00025892261941543135,2.3588459284578183,3.949606043828209e-06
3,rhombus,400,400,20.0,-0.05413655945166118,-0.028985576284140432,1385.8852324047034,0.0614079042289099,4.430951625219258e-05,3.9388740823265347,2.0507728696619326e-06
3,disk,400,397,20.97617696340303,-0.1910603853518995,-0.09245999646026945,1375.0086293855331,0.21225673557333669,0.00015436756616443232,4.123632690437856,2.181067600277236e-06
4,rhombus,4,4,2.0,0.04008080718879148,0.07434304388078561,13.832894188079761,0.08445921665730445,0.00610567936897006,0.025430087478976578,0.00013289900955753718
4,disk,4,7,2.8284271247461903,0.041361947308590885,0.012560226266136648,24.441010366549424,0.0432269588221887,0.001768624053339063,0.04578678732286654,7.664818253347411e-05
4,rhombus,16,16,4.0,0.022618438579686373,-0.08571857981616851,55.913309076741925,0.08865251654343433,0.0015855351437304007,0.15885084366806218,5.081116290433513e-05
4,disk,16,19,4.69041575982343,-0.10214037199477488,0.011999054945651288,66.16801530291461,0.10284275818364534,0.0015542669326386047,0.22535046808543438,5.1470957570896024e-05
4,rhombus,49,49,7.0,0.16695295990497083,0.05182361029736873,170.29223327731862,0.1748112622381188,0.0010265369058460876,0.5324432586014375,1.836046392756626e-05
4,disk,49,55,7.615773105863909,-0.11368379895584502,0.22120757997146082,190.82389934920892,0.24871027236900212,0.0013033497020929269,0.7138410387730458,1.960360665142546e-05
4,rhombus,100,100,10.0,0.04626656816559116,-0.047318045845160944,346.8131492522609,0.06617849191713307,0.00019081886618144608,1.0823653862345823,8.998762396031663e-06
4,disk,100,97,10.488088481701515,0.3540730874200184,0.23996126552479857,336.51159864592717,0.427725566441155,0.0012710574261400182,1.151108270590749,1.0165204001263778e-05
4,rhombus,225,225,15.0,0.09502855114211917,0.03502747432764153,780.1951641747734,0.10127857369623619,0.00012981184496748373,2.48026619515392,4.074663845560591e-06
4,disk,225,223,15.748015748023622,-0.2723374103289782,0.23645558203834785,772.9722605819637,0.36066453574171675,0.0004665944098306655,2.2502679473766936,3.7662263415226255e-06
4,rhombus,400,400,20.0,0.0529877022298928,-0.02866901745656808,1386.389233091088,0.06024623763795372,4.3455500230356625e-05,4.106827214031429,2.1366632354792495e-06
4,disk,400,397,20.97617696340303,-0.14664278428111732,0.2155757769328606,1375.717312512807,0.26072403376352704,0.00018951861068558,3.863415139523488,2.0413288434765136e-06
5,rhombus,4,4,2.0,-0.0864176178764069,-0.07799047154032634,13.870692564628834,0.11640669366713897,0.008392276962722366,0.04342571887384104,0.00022570996041558234
5,disk,4,7,2.8284271247461903,-0.07783720037770481,0.11265647669850093,24.329887580723454,0.13693104653349747,0.005628100256492258,0.04638514846206883,7.836077931688575e-05
5,rhombus,16,16,4.0,0.037841182118640404,0.0467334088211113,55.34683270941112,0.06013290749811815,0.0010864742308531997,0.11957201838913405,3.903408598559729e-05
5,disk,16,19,4.69041575982343,0.03531523711689655,0.09264189093600432,65.64231140241118,0.09914477257435789,0.0015103790597281754,0.13394852237547872,3.108638325668182e-05
5,rhombus,49,49,7.0,0.12086866829620346,0.02771198397915567,170.01655911224273,0.12400479439021155,0.0007293689216962989,0.34243598788634755,1.1846688118371233e-05
5,disk,49,55,7.615773105863909,-0.48355142311273447,0.035200929124609606,190.7411574270902,0.48483098519544576,0.002541826796771797,0.4197221949719661,1.1536474437966985e-05
5,rhombus,100,100,10.0,0.08620531399594,-0.048724916604778984,346.59626578197054,0.09902259166110164,0.0002857001111587067,0.7537213041531098,6.274267522898804e-06
5,disk,100,97,10.488088481701515,0.18911966545893,0.09888020046638835,335.64284166607456,0.2134093294764096,0.0006358226751301521,0.7143786944059718,6.341233058660601e-06
5,rhombus,225,225,15.0,-0.04722758555783724,-0.062332235792460854,780.1875128463457,0.07820327650750813,0.00010023651394034796,2.1687690241752655,3.5629958106811346e-06
5,disk,225,223,15.748015748023622,0.3330094173215601,0.05269009780829771,773.3349289903433,0.33715207018776105,0.0004359716049913104,2.1212880613032183,3.547026190308002e-06
5,rhombus,400,400,20.0,-0.1593989110882581,0.07427046362465903,1385.699287903737,0.17585253658433309,0.00012690526589672995,3.923354587363596,2.0432408994845e-06
5,disk,400,397,20.97617696340303,-0.5692494418474268,-0.21876184306964055,1374.8240943356614,0.6098374136004062,0.0004435748661323034,3.9329440361344874,2.0807672189274244e-06
6,rhombus,4,4,2.0,-0.07930552111670552,-0.09496375246279318,13.748642057567631,0.12372340102586447,0.008998954260923805,0.03673197819615366,0.0001943232239655359
6,disk,4,7,2.8284271247461903,0.10591604236452445,0.08343408755537177,24.246152808627972,0.13483120928168368,0.005560932092851618,0.08096275621152936,0.00013772082275889303
6,rhombus,16,16,4.0,0.07818007835009366,0.0314702777601405,55.42041228208645,0.08427634919197187,0.0015206734436223695,0.14823989047697733,4.8264252118536406e-05
6,disk,16,19,4.69041575982343,-0.036178312001600155,-0.005969917395173968,65.6236130976122,0.03666756295406509,0.0005587556250449624,0.15420067093844556,3.580683930926596e-05
6,rhombus,49,49,7.0,0.14833009003114617,-0.07143052105714123,169.81442148244275,0.16463333486005385,0.000969489713670022,0.40695874685094097,1.4112412020719746e-05
6,disk,49,55,7.615773105863909,-0.09788764999225608,0.1758859583160734,190.76265970941628,0.20129049245746788,0.0010551881210090505,0.42941383653556114,1.1800198044869904e-05
6,rhombus,100,100,10.0,-0.1444073001540782,0.09249062982692924,345.73651863354206,0.17148756498233944,0.0004960065128789735,0.8696946037487654,7.275724840898588e-06
6,disk,100,97,10.488088481701515,0.21791280808047375,0.0806905487681456,335.82712842608134,0.23237245229592485,0.0006919406820556255,0.7874618828708349,6.982291710291097e-06
6,rhombus,225,225,15.0,0.013867566398888087,-0.10513066690427113,779.3637144925206,0.10604134345416592,0.000136061432527962,1.9264252985860755,3.1715517981077554e-06
6,disk,225,223,15.748015748023622,0.5109031821185885,-0.13762587533405987,771.3721135512503,0.5291152455376483,0.0006859403344278321,1.9755530640140468,3.3201738969785426e-06
6,rhombus,400,400,20.0,-0.13703731839355004,0.043601251272103986,1385.8236330142777,0.1438064523760612,0.00010376966372212215,3.8175174185050738,1.9877652810421573e-06
6,disk,400,397,20.97617696340303,-0.0184123903017408,0.31258013098616433,1376.4482036295062,0.31312194813514954,0.00022748545663359482,3.6206174990127282,1.9110097349658983e-06
7,rhombus,4,4,2.0,-0.057460862735460694,-0.08208932917626525,13.72451410397671,0.10020183985792222,0.007300938969408652,0.025052942682208104,0.0001330040265985013
7,disk,4,7,2.8284271247461903,0.08576728246127541,-0.04565135345730724,23.95214213256021,0.09716003712059912,0.0040564237045220735,0.07631196791991096,0.0001330160150668075
7,rhombus,16,16,4.0,-0.07556035955867557,-0.05641920788261577,55.167105482927525,0.09430002627114241,0.0017093524382990383,0.15253338363999028,5.0119243653706355e-05
7,disk,16,19,4.69041575982343,0.09449289368095881,0.016064943775414897,65.52054595314047,0.09584878389790988,0.0014628813375038084,0.22203879629449944,5.172182603317023e-05
7,rhombus,49,49,7.0,-0.049004025657518824,0.05829715342749303,170.01730824481973,0.076157420048157,0.0004479392176853702,0.6280286616076658,2.1726671208089938e-05
7,disk,49,55,7.615773105863909,0.3663028318980053,0.08256950181980742,191.04376830186365,0.37549365811857527,0.0019654849852273996,0.7562684916410094,2.072097825527422e-05
7,rhombus,100,100,10.0,-0.07745110401742394,-0.0759474500394651,347.0935130910402,0.10847436877444769,0.0003125220284540311,1.2031368002248082,9.986700289580087e-06
7,disk,100,97,10.488088481701515,-0.20757254144979287,0.1425206448137426,336.4608323524569,0.2517905759992835,0.000748350333198731,1.1257335147131893,9.944124795410417e-06
7,rhombus,225,225,15.0,0.10877545133771971,-0.033279427083641816,779.0252389641462,0.11375244648243861,0.00014601894880028905,2.3286414401788242,3.837068614921925e-06
7,disk,225,223,15.748015748023622,0.024434110993315272,-0.3245855576197878,772.7720319036902,0.32550393238082737,0.00042121598471798035,2.331133736522469,3.903591809581536e-06
7,rhombus,400,400,20.0,0.12000587311359956,0.07899980283024276,1384.8817948959982,0.14367455734741133,0.00010374499677656676,4.130652887988356,2.153740073764866e-06
7,disk,400,397,20.97617696340303,0.21093018390633222,-0.09020422058983406,1375.6600457693721,0.22940868312899268,0.0001667626270272974,4.048750845111794,2.139433558667021e-06
8,rhombus,4,4,2.0,0.06366589254511323,-0.01524319597215043,13.897131177060306,0.0654652648128096,0.004710703524254826,0.020583856205623106,0.00010658017414565121
8,disk,4,7,2.8284271247461903,-0.11678537799097644,0.024572102149360703,24.48459307459344,0.11934241792646008,0.004874184249780174,0.021202509743237022,3.536726612029501e-05
8,rhombus,16,16,4.0,-0.06472039707439547,0.08224436498340393,55.831997749879335,0.10465593804935665,0.0018744795505652998,0.09588500466432266,3.0759860254213894e-05
8,disk,16,19,4.69041575982343,0.1822304598080433,-0.17347195416076056,66.39926288389542,0.25159582540694886,0.0037891358198792794,0.08613635054678415,1.953709332882649e-05
8,rhombus,49,49,7.0,-0.04649730985131084,0.04689250545531862,169.80970288678625,0.06603716295606508,0.0003888892203061723,0.3265686967026445,1.1325295665886665e-05
8,disk,49,55,7.615773105863909,-0.08457510312165217,-0.1660474062928885,190.68600548304153,0.18634561761585294,0.0009772380366551096,0.35300933285679004,9.708419749361712e-06
8,rhombus,100,100,10.0,0.061447236336812594,0.07093209080567342,346.3259028083238,0.09384628047768544,0.00027097678723045224,0.8578824752420962,7.152499665081278e-06
8,disk,100,97,10.488088481701515,-0.13628019604855135,-0.3015166991565219,335.2992336968333,0.3308845897065563,0.0009868337188200418,0.8523338592764408,7.581316357981069e-06
8,rhombus,225,225,15.0,-0.04034625566590311,0.10879901948799704,779.7870414485188,0.11603898908473814,0.00014880856300097798,2.0800440184610705,3.4207434036155568e-06
8,disk,225,223,15.748015748023622,-0.04813827992164876,-0.6293801638612779,773.0434412621458,0.6312184127985052,0.0008165367935441205,2.0771828973311735,3.475897318528279e-06
8,rhombus,400,400,20.0,-0.06271449508339222,0.05118865263222584,1385.8909299441225,0.0809529866766354,5.8412234994495084e-05,4.002241142552119,2.083747765553035e-06
