n,eccentricity,gap,trace,normalized_gap
4,0.6584887218045113,0.8333258160453869,3.0103623788673977,0.27681910387111364
4,0.6609924812030076,0.8389920363545802,3.001570095248396,0.279517722302317
4,0.6634962406015038,0.844659110652163,2.99271846643194,0.2822380788992843
4,0.666,0.8503264375986541,2.9838069642656175,0.2849803783496225
4,0.6685037593984963,0.8559934004465817,2.9748350506744465,0.28774482815526636
4,0.6710075187969925,0.8616593666000003,2.9658021774026766,0.2905316386794904
4,0.6735112781954887,0.8673236871592245,2.956707785746786,0.29334102319487804
4,0.676015037593985,0.8729856964501754,2.9475513062793075,0.29617319793226765
4,0.6785187969924812,0.878644711537738,2.9383321585630884,0.2990283821307035
4,0.6810225563909775,0.8843000317224647,2.9290497508555853,0.30190679808841
4,0.6835263157894738,0.88995093801996,2.9197034798027515,0.304808671214819
4,0.68603007518797,0.8955966926222247,2.910292730122077,0.30773423008367184
4,0.6885338345864662,0.9012365383402265,2.900816874274298,0.3106837064872254
4,0.6910375939849625,0.9068696980268943,2.891275272123287,0.3136573354915839
4,0.6935413533834587,0.9124953739797331,2.881667270583584,0.31665535549318924
4,0.6960451127819549,0.9181127473221911,2.8719922032550316,0.319678008276495
4,0.6985488721804511,0.9237209773628663,2.8622493900439068,0.3227255390728536
4,0.7010526315789474,0.9293192009316136,2.852438136769967,0.32579819662064696
4,0.7035563909774436,0.9349065316915401,2.842557734758735,0.32889623322668987
4,0.7060601503759398,0.9404820594258471,2.832607460418348,0.33201990482894056
4,0.7085639097744362,0.9460448492984039,2.8225865748002548,0.3351694710605475
4,0.7110676691729324,0.9515939410868951,2.8124943231429946,0.33834519531526663
4,0.7135714285714286,0.957128348387315,2.8023299343982475,0.34154734481428645
4,0.7160751879699249,0.9626470577885132,2.7920926207383214,0.34477619067449045
4,0.7185789473684211,0.9681490280154376,2.781781577044156,0.3480320079781986
4,0.7210827067669173,0.9736331890396362,2.771395980372912,0.3513150758444222
4,0.7235864661654136,0.979098441155508,2.760934989404129,0.35462567750167096
4,0.7260902255639098,0.9845436540207013,2.7503977438633873,0.35796410036235243
4,0.728593984962406,0.9899676656589813,2.7397833639223412,0.3613306360988043
4,0.7310977443609022,0.9953692814237849,2.729090949573944,0.36472558072100103
4,0.7336015037593985,1.000747272920575,2.718319579981572,0.36814923465597793
4,0.7361052631578948,1.0061003768860188,2.7074683128007138,0.371601902829019
4,0.738609022556391,1.0114272940218676,2.696536183471804,0.3750838947466486
4,0.7411127819548873,1.0167266877813321,2.6855222044826594,0.37859552458148266
4,0.7436165413533835,1.021997183105578,2.6744253645989278,0.3821371112589798
4,0.7461203007518797,1.0272373651078535,2.6632446280608155,0.38570897854614816
4,0.748624060150376,1.0324457777025868,2.651978933744282,0.38931145514225296
4,0.7511278195488722,1.0376209221766632,2.6406271942847424,0.39294487477158624
4,0.7536315789473684,1.0427612556998762,2.6291882951612164,0.3966095762783457
4,0.7561353383458647,1.0478651897713986,2.6176610937387137,0.40030590372368235
4,0.7586390977443609,1.0529310885989032,2.606044418266494,0.40403420648497573
4,0.7611428571428571,1.057957267406747,2.5943370668297,0.40779483935739275
4,0.7636466165413535,1.062941990669415,2.5825378062516506,0.4115881626577972
4,0.7661503759398497,1.0678834702661635,2.5706453709439643,0.4154145423310672
4,0.7686541353383459,1.0727798635525376,2.5586584617013965,0.4192743500588921
4,0.7711578947368422,1.077629271344156,2.5465757444381394,0.42316796337111007
4,0.7736616541353384,1.0824297358078452,2.5343958488620424,0.427095765759663
4,0.7761654135338346,1.087179238254865,2.522117367082988,0.4310581467952329
4,0.7786691729323308,1.091875696830623,2.5097388521513704,0.4350555022466411
4,0.7811729323308271,1.0965169640948647,2.497258816522331,0.4390882342030804
4,0.7836766917293233,1.1011008244859277,2.4846757304410834,0.4431567511992636
4,0.7861804511278195,1.105624991662173,2.471988020244299,0.4472614683435672
4,0.7886842105263159,1.1100871057132216,2.4591940665721586,0.45140280744925465
4,0.7911879699248121,1.114484730233087,2.4462922024852376,0.4555811971688662
4,0.7936917293233083,1.1188153492467086,2.43328071147996,0.45979707313186535
4,0.7961954887218046,1.1230763639807557,2.4201578253958456,0.46405087808563195
4,0.7986992481203008,1.1272650894688865,2.4069217222072385,0.4683430620398995
4,0.801203007518797,1.1313787509808897,2.393570523691615,0.4726740824147345
4,0.8037067669172933,1.1354144802643202,2.3801022929659195,0.4770444041921597
4,0.8062105263157895,1.139369311586335,2.366515031881667,0.4814545000715242
4,0.8087142857142857,1.1432401775624712,2.35280667826877,0.48590485062873257
4,0.811218045112782,1.1470239047580217,2.3389751030172046,0.4903959444794418
4,0.8137218045112782,1.1507172090464959,2.325018106984663,0.4949282784463436
4,0.8162255639097745,1.1543166907083626,2.310933417717336,0.49950235773065177
4,0.8187293233082708,1.1578188292518559,2.2967186859698114,0.5041186960879172
4,0.821233082706767,1.1612199779360632,2.2823714820088,0.5087778160082996
4,0.8237368421052632,1.1645163579748083,2.2678892916840496,0.5134802489014277
4,0.8262406015037594,1.1677040523979318,2.2532695122482114,0.518226535285985
4,0.8287443609022557,1.1707789995445017,2.2385094479057686,0.5230172249841611
4,0.8312481203007519,1.1737369861601548,2.2236063050691923,0.5278528773211189
4,0.8337518796992481,1.1765736400682156,2.2085571872984247,0.5327340613296216
4,0.8362556390977444,1.1792844223813992,2.1933590898974047,0.5376613559599859
4,0.8387593984962406,1.1818646192177389,2.1780088941387716,0.5426353502955147
4,0.8412631578947369,1.1843093328808587,2.162503361084925,0.5476566437735811
4,0.8437669172932332,1.1866134724608042,2.1468391249703798,0.5527258464125373
4,0.8462706766917294,1.1887717438072498,2.1310126861066685,0.5578435790446278
4,0.8487744360902256,1.190778638822011,2.1150204032669544,0.5630104735550926
4,0.8512781954887219,1.1926284240122875,2.098858485502881,0.5682271731276523
4,0.8537819548872181,1.194315128239906,2.0825229833409677,0.5734943324965759
4,0.8562857142857143,1.1958325295948864,2.066009779300007,0.5788126182055398
4,0.8587894736842105,1.197174141313818,2.0493145776642363,0.5841827088734862
4,0.8612932330827068,1.1983331966547155,2.0324328934395375,0.5896052954677121
4,0.863796992481203,1.1993026326299854,2.0153600404113545,0.5950810815844082
4,0.8663007518796992,1.200075072487792,1.998091118213252,0.6006107837368959
4,0.8688045112781956,1.2006428068191826,1.980620998303939,0.6061951316518034
4,0.8713082706766918,1.200997773153599,1.9629443087378418,0.6118348685734398
4,0.873812030075188,1.201131533888562,1.9450554175997299,0.6175307515766325
4,0.8763157894736843,1.2010352523800205,1.9269484149571352,0.6232835518883039
4,0.8788195488721805,1.2006996669976886,1.9086170931649844,0.6290940552180719
4,0.8813233082706767,1.2001150629241437,1.8900549253345191,0.634963062098175
4,0.883827067669173,1.199271241446946,1.8712550417527214,0.6408913882330235
