eta,realization,i,j,delta,W_real,W_imag,area
0.0,0,-7,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-7,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-7,-3,0.0,0.0,0.0,3.4641016151377544
0.0,0,-7,-2,8.881784197001252e-16,8.881784197001252e-16,0.0,3.464101615137755
0.0,0,-7,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-7,0,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,-7,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-7,2,0.0,0.0,0.0,3.4641016151377544
0.0,0,-7,3,0.0,0.0,0.0,3.4641016151377544
0.0,0,-7,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-7,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-7,6,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,-7,7,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,-7,8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,-7,9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-6,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-6,-9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-6,-8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,-6,-7,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,-6,-6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,-6,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-6,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-6,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-6,-2,0.0,0.0,0.0,3.4641016151377544
