beta,condition,realization,min_area,min_turn,min_edge,relative_force_residual,crossings,tensor_check_error,boundary_virial_error,initial_energy,relaxed_energy,max_displacement
0.25,permuted,3,2.7640047639083907,0.7835343450500741,0.9456488743864593,2.891749980000411e-14,0,1.3322676295501878e-15,3.092281986027956e-11,5423.696709245829,5415.970010293992,0.3750272134862659
0.25,permuted,4,2.5255853677954225,0.755933765550526,0.9075023874677233,2.6650855196736296e-14,0,1.3322676295501878e-15,2.9103830456733704e-11,5423.696709245829,5415.813803863796,0.5120759761388015
0.25,permuted,5,2.5636942657783566,0.7824373501612096,0.9388486093517473,2.5060683583148463e-14,0,1.3322676295501878e-15,2.2737367544323206e-11,5423.696709245828,5415.957887515402,0.5593604241439621
0.25,permuted,6,2.8395733389489175,0.7790201717846797,0.9280090812909615,2.3961765036407418e-14,0,1.3322676295501878e-15,1.9099388737231493e-11,5423.696709245829,5415.978979794938,0.46531718319082965
0.25,permuted,7,2.7464802190663073,0.7751333951726602,0.8955069488527483,2.8458360161084234e-14,0,1.3322676295501878e-15,6.002665031701326e-11,5423.696709245829,5415.841638198657,0.3859031954282858
0.25,permuted,8,2.6960017034591397,0.7986350849096029,0.9236360390479165,2.3842310710018912e-14,0,1.7763568394002505e-15,5.911715561524034e-11,5423.696709245829,5415.729677748393,0.3875886804155965
0.25,permuted,9,2.657891041432671,0.803077176287176,0.9294509878101892,2.960412605629822e-14,0,1.7763568394002505e-15,1.6370904631912708e-11,5423.696709245829,5415.757608769678,0.47792668741019906
0.25,permuted,10,2.623233299777228,0.7831605913562674,0.9448687656390246,2.1328783747563356e-14,0,1.3322676295501878e-15,3.183231456205249e-11,5423.696709245829,5415.975882373099,0.4414999068418644
0.25,permuted,11,2.7375640420328295,0.7691905039003331,0.933591995066496,2.375915989333685e-14,0,1.3322676295501878e-15,2.546585164964199e-11,5423.696709245829,5415.882353982717,0.38415743205073616
0.25,permuted,12,2.69335806011835,0.761836856179236,0.9208184596465498,2.3696471987781927e-14,0,1.3322676295501878e-15,8.36735125631094e-11,5423.696709245829,5416.105991940487,0.3898017100163844
0.25,permuted,13,2.7095598423357425,0.7981952360738559,0.8733319523394792,2.6604066475300883e-14,0,1.3322676295501878e-15,3.183231456205249e-11,5423.696709245829,5416.273084832543,0.34572357405605014
0.25,permuted,14,2.6621078064934593,0.7665077869231267,0.9395041485185583,2.618788009454878e-14,0,1.3322676295501878e-15,4.4565240386873484e-11,5423.696709245829,5415.97177959448,0.3656821862326329
0.25,permuted,15,2.624522763960708,0.7895555987661329,0.95668673332355,2.3713307584632032e-14,0,1.7763568394002505e-15,2.2737367544323206e-11,5423.696709245829,5415.647554285187,0.42203340516021964
0.25,permuted,16,2.544620073758385,0.7926805855092879,0.9425304545953037,2.0180563507419434e-14,0,1.3322676295501878e-15,3.2741809263825417e-11,5423.696709245828,5415.3343469600595,0.459266540429489
0.25,permuted,17,2.7942423832583203,0.8034173048617591,0.9295989964646583,1.89660205514915e-14,0,1.3322676295501878e-15,4.8203219193965197e-11,5423.696709245829,5416.059551260574,0.3678927825715873
0.25,permuted,18,2.725853771372857,0.779134330679343,0.9472152101788948,3.3196255781256985e-14,0,1.7763568394002505e-15,7.275957614183426e-12,5423.696709245829,5415.982495152404,0.40116825781122023
0.25,permuted,19,2.676746509677489,0.7726675088165548,0.9060159791973744,2.0262943748176178e-14,0,1.3322676295501878e-15,2.4556356947869062e-11,5423.696709245829,5415.545100100278,0.4227952048388134
0.25,permuted,20,2.7299622364902207,0.7857613132219723,0.920525002473264,2.3738598351919235e-14,0,1.3322676295501878e-15,1.6370904631912708e-11,5423.696709245829,5416.05416311288,0.3476596448943139
0.25,permuted,21,2.669475226302367,0.7833371345033537,0.9105525072128675,3.393446698088401e-14,0,1.3322676295501878e-15,2.546585164964199e-11,5423.696709245829,5415.893125462229,0.4267473573097303
0.25,permuted,22,2.797548379044847,0.7871359852313194,0.8979708966157449,2.8485488508141904e-14,0,1.3322676295501878e-15,2.8194335754960775e-11,5423.696709245828,5416.530288313415,0.44412529570829545
0.25,permuted,23,2.7223846843627006,0.7745350536903054,0.9069424750256473,1.9419804088773463e-14,0,1.3322676295501878e-15,1.4551915228366852e-11,5423.696709245828,5416.065030128184,0.38667688404493006
0.25,permuted,24,2.5929600424187633,0.7756835343145196,0.9325176131798176,2.8000335881188274e-14,0,1.3322676295501878e-15,4.638422979041934e-11,5423.696709245829,5415.564652740514,0.39644756450228735
0.25,permuted,25,2.813600098477915,0.7475173432672312,0.965289301269229,2.923800063560986e-14,0,1.3322676295501878e-15,4.274625098332763e-11,5423.696709245829,5416.356000420119,0.3789244227025376
0.25,permuted,26,2.6930984918228176,0.7718065604542577,0.9373545991170106,2.7384908268990385e-14,0,1.7763568394002505e-15,5.729816621169448e-11,5423.696709245829,5415.87212618435,0.4878229300288302
0.25,permuted,27,2.6038770986125943,0.7819800737031819,0.8988289193932183,2.3829496331652637e-14,0,1.3322676295501878e-15,4.18367562815547e-11,5423.696709245829,5415.560007765442,0.4628048509234395
0.25,permuted,28,2.7294882723903733,0.7602257827739738,0.9247451496460715,1.6954504957254893e-14,0,1.3322676295501878e-15,4.274625098332763e-11,5423.696709245829,5415.917611047418,0.3276169651170252
0.25,permuted,29,2.6133040277335353,0.7815855365253714,0.9244756096267956,1.9410601591775388e-14,0,1.7763568394002505e-15,6.002665031701326e-11,5423.696709245828,5415.49446281002,0.4771587478657327
0.25,permuted,30,2.7662724895249178,0.7810629726820462,0.9211498832180488,2.375891843981052e-14,0,1.3322676295501878e-15,4.729372449219227e-11,5423.696709245829,5415.676391956271,0.4141057795100017
0.25,permuted,31,2.6413162330619637,0.7605113269965114,0.9200755171724294,4.642630005103045e-14,0,1.3322676295501878e-15,1.3642420526593924e-11,5423.696709245829,5415.799643078913,0.458661103390614
0.25,permuted,32,2.567020428481129,0.7723193211427052,0.9126703812854314,2.257648111384904e-14,0,1.3322676295501878e-15,4.281752730150856e-11,5423.696709245829,5415.851632390432,0.4383740578326818
0.25,permuted,33,2.6368708842539315,0.7989806885845586,0.9137063312568343,3.3199310985826395e-14,0,1.3322676295501878e-15,3.183231456205249e-11,5423.696709245829,5416.108606824447,0.46680188496777325
0.25,permuted,34,2.753629888727854,0.7969607500684306,0.9440164680146899,2.4897234616485797e-14,0,1.3322676295501878e-15,3.092281986027956e-11,5423.696709245829,5415.880164644086,0.41083971133873315
0.25,permuted,35,2.6635478657078417,0.7682302691336611,0.9104974786116503,1.896600554657057e-14,0,1.7763568394002505e-15,1.0036860231821265e-11,5423.696709245829,5415.713798109671,0.44211370837854236
