eps,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,8,13,4013,256,705,0.09398064014356738,0.04655780950835305,-0.04194859890628866,-0.020197640357611277,886.9588173583098,1.7082161180704916,-0.3984575119720128,-0.39846164196159023,-0.32005523331449715
0.0,10,13,4013,400,1121,0.09174660941578215,0.12348773880524751,0.1079495048179191,0.059967708350403826,1385.460858107391,2.0741092458614996,-0.3893183134740793,-0.38930960306830736,-0.3127500853967846
0.0,12,13,4013,576,1633,0.09057228471055123,0.015117475501615633,0.006591591484430115,-0.013604741351614782,1994.394704750551,2.4525053109270107,-0.396584891400048,-0.3965811348418548,-0.3168596689407998
0.0,4,14,4014,64,161,0.09082623280950838,0.04838094348928563,0.0026508383465801977,0.04830826791527253,222.2182440138157,0.8057499422367379,-0.41552689469499315,-0.41542252983946865,-0.33949216882345234
0.0,6,14,4014,144,385,0.09109193023823928,0.09667013960236853,-0.03130972833226675,0.09145937241475624,498.9623837181143,1.210165989002612,-0.38382816385411206,-0.38369291595434185,-0.3137453961978558
0.0,8,14,4014,256,705,0.09021989671136216,0.1511249781255138,0.06927364016540949,0.1343127759808068,886.1171596537267,1.6002513756426262,-0.3907165634638475,-0.3907484249748324,-0.3224391872813511
0.0,10,14,4014,400,1121,0.09275888607865078,0.15419962558389838,0.15362554752362367,0.013293444936557708,1384.9661161666236,2.0629376436368787,-0.40148081212779213,-0.40150517305132544,-0.3305327203638429
0.0,12,14,4014,576,1633,0.0908994540770996,0.04936388458023111,-0.04525526834788263,-0.01971684020352936,1995.4737665682756,2.426051161373678,-0.3963174753775032,-0.39630932796814144,-0.32687176475239443
0.0,4,15,4015,64,161,0.08187861186319614,0.003311092082309329,0.003041667396285419,-0.0013082775806019936,222.0221610193933,0.7643322112255413,-0.4618271180774332,-0.4618515744597336,-0.341071996291146
0.0,6,15,4015,144,385,0.0821431492191581,0.04365780574888988,0.041487981675215835,0.013592327958254893,498.90168676475423,1.1131632337082935,-0.4206899851233601,-0.42049457674907575,-0.3316495658482427
0.0,8,15,4015,256,705,0.08153508053778416,0.05823255974155106,0.014188055624595464,0.05647769552351351,887.2027020496464,1.4638252792765938,-0.3980413743741682,-0.39799238850049823,-0.3258905781016205
0.0,10,15,4015,400,1121,0.08345599973648675,0.13354489308775136,0.048461397173305,0.12444167892563217,1385.5452935609494,1.8872471858778261,-0.4043853074052019,-0.40428914809521427,-0.3328650104325874
0.0,12,15,4015,576,1633,0.08365038297132665,0.19375165693616409,-0.17496423786767945,0.08322992270146058,1994.604033007092,2.28248957506271,-0.40665000963237846,-0.40663939888056216,-0.3326293035821775
0.0,4,16,4016,64,161,0.08664108020177491,0.10511042247616306,-0.047946988776327526,0.09353762441071618,222.20347237930875,0.7912246787696514,-0.3985555241967119,-0.3982855655721836,-0.32826365824402065
0.0,6,16,4016,144,385,0.08730885679908354,0.1127299867821166,0.11086164323529646,0.020438835071158748,499.28407460365236,1.1960754092684243,-0.40251346017092515,-0.4024658760485001,-0.3245203743486808
0.0,8,16,4016,256,705,0.0913001621686879,0.1366220412590609,0.039193047313696106,-0.1308796668702168,886.3377722305116,1.6439077486170295,-0.42131604333269307,-0.42121867448409656,-0.3412443294601423
0.0,10,16,4016,400,1121,0.09147042198129889,0.2246843265682014,-0.12017979205974916,0.1898416818980532,1385.2791758603253,2.051179728276869,-0.4139547820845759,-0.4139725634455648,-0.3385350998394634
0.0,12,16,4016,576,1633,0.09087936073651326,0.11152116410262751,-0.0668074685580815,-0.08929575682901246,1995.036787309916,2.4546559527903895,-0.4149269140660575,-0.41489948766734136,-0.33795162397048567
0.0,4,17,4017,64,161,0.09224924903256215,0.05300344966461205,-0.03873860822480557,0.036175764112926334,221.90215327754407,0.8041346084441029,-0.3567554062448103,-0.35697799891877663,-0.30184229029763726
0.0,6,17,4017,144,385,0.09509554280766291,0.2787711336328954,-0.202876714070364,0.19119200776962772,498.4717972236925,1.239924705679028,-0.36834205592587754,-0.36855410556877627,-0.30605855883023236
0.0,8,17,4017,256,705,0.09422946482504194,0.1614900102478146,0.07869846426034144,0.14101622294226654,887.0329625898311,1.6709335652667314,-0.373363297237105,-0.37301656293058366,-0.30234750269410354
0.0,10,17,4017,400,1121,0.09136684432141162,0.07590017249941303,-0.023782871862486843,0.07207781344778146,1386.3677830280633,2.0339418347750446,-0.3857369270486906,-0.3856687462399009,-0.31548905777312103
0.0,12,17,4017,576,1633,0.09192200956289594,0.16104300260759957,0.14994972910193916,-0.058736082871829146,1994.6716871162982,2.4589332833460475,-0.3881049923867504,-0.388095639994111,-0.3149300650920068
0.0,4,18,4018,64,161,0.09700732891805405,0.06929531612441006,-0.057592991666088,0.03853424642745519,221.47328165271526,0.8806975823703413,-0.469967510618713,-0.4704825633241816,-0.3620364278209264
0.0,6,18,4018,144,385,0.09590030564828503,0.13487263734883784,-0.1266702670129094,-0.04631707849497167,498.73984638510257,1.2956075093964339,-0.4724921688469777,-0.4723057592302599,-0.3712412142451919
0.0,8,18,4018,256,705,0.09151547309524896,0.1671163256917977,0.029022817889088337,-0.16457685850235393,886.1482448519276,1.6579338631928262,-0.44929078848727366,-0.4492012891602715,-0.35393127979552835
0.0,10,18,4018,400,1121,0.08917127520051153,0.029567376131386297,0.024697559809245373,-0.016256084115297255,1385.969759368687,2.0174628097993574,-0.429677093336527,-0.4296602642727682,-0.34430319296610873
0.0,12,18,4018,576,1633,0.08637259911689273,0.1913000877385011,-0.12884915913496897,-0.1413987898073023,1996.6726931254002,2.346812873183919,-0.4256575126608887,-0.42568549431975045,-0.3406730412510792
0.0,4,19,4019,64,161,0.0813711645871133,0.1094015003359551,-0.06823812376631677,0.0855116760484252,221.73876517812053,0.7247594453098886,-0.3592849270789534,-0.3588318982380373,-0.28549474898539445
0.0,6,19,4019,144,385,0.08376693196421013,0.11813799258736034,0.06317523507944323,-0.0998272255711251,498.93632673515174,1.1581051055171718,-0.3925625213347413,-0.3924078161948819,-0.30553057157510505
0.0,8,19,4019,256,705,0.08861018720775835,0.11104309466280037,-0.09631774240802704,0.05525813396878865,886.6823888200206,1.6185835988275918,-0.41526641322851354,-0.4152409923941393,-0.32707336968957407
0.0,10,19,4019,400,1121,0.08746713742226365,0.10125976534079123,-0.08414043193848553,0.056337623219986734,1386.168256426872,2.004090838617866,-0.4150966862285668,-0.4150620301522852,-0.3263175558681773
0.0,12,19,4019,576,1633,0.0883358930623278,0.13267525586061452,0.023676536909416956,0.1305455672079927,1996.232957107856,2.4109500854064163,-0.41547374724275127,-0.41543458199025596,-0.33300331263444055
0.0,4,20,4020,64,161,0.08232784570717361,0.08757028625044325,-0.02140286334906749,-0.08491450096682965,221.6278547885272,0.7344821225941028,-0.3825683498940107,-0.38246664602067726,-0.30938062496755925
0.0,6,20,4020,144,385,0.08172483824685763,0.0654412742892099,0.05044035989525186,0.04169329051817658,498.52595498592376,1.1038652366069006,-0.40231555608011993,-0.4021452710739444,-0.3218536885558703
0.0,8,20,4020,256,705,0.0851764940385868,0.06577641170377033,0.049184496897860974,-0.04367403807215675,887.048476748592,1.5361444664422923,-0.4227934337251925,-0.42275944467257504,-0.3349369600490636
0.0,10,20,4020,400,1121,0.08405089809090857,0.13326021513219868,-0.04211713172088727,-0.12642955411091708,1385.7478666956802,1.9110698923067546,-0.42845333415503917,-0.4284460036136285,-0.3400265564950498
0.0,12,20,4020,576,1633,0.08464470930978142,0.047382219052522316,-0.01647886473849436,-0.044424336790453225,1996.2358515593385,2.3044658449072197,-0.4149731952226724,-0.4149742133353736,-0.3297595956747353
