beta,condition,realization,region,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees
0.5,permuted,31,exterior,216,747.1968318271569,0.002142947108372157,0.012731069848653343,0.16832419693297276,0.0010714307239197557,0.0019562707264316704,0.0008747726299942711,12.046222444034248
0.5,permuted,32,inner,37,128.46808766078752,0.09039608818417667,0.2538018605226858,0.35616794927355044,0.04674311576167797,-0.0892370828892194,-0.014428991524844429,-85.40759011660131
0.5,permuted,32,domain,127,446.63270679786206,0.006096961521759118,0.2077615396392492,0.029345958507747374,0.0031138171305167936,-0.005065887416850792,-0.0033925984845843567,-73.09499261344403
0.5,permuted,32,core,517,1796.8544902497038,0.0008605174752586294,0.0838071381468064,0.010267830333870203,0.00043246288269391253,-0.00033016284161726487,0.0007946589351669676,56.28089058949563
0.5,permuted,32,exterior,216,746.9109538047117,0.000897070985034673,0.01651205368296975,0.054328250274518965,0.0004485202205986345,-0.0003846289515159486,0.0008104300844902173,57.69447430583433
0.5,permuted,33,inner,37,130.62732205029315,0.02073800073807793,0.24254707796518385,0.08550093001349102,0.010593549459735752,-0.016061738663204213,-0.013118125846608264,-70.38020447022264
0.5,permuted,33,domain,127,444.61769350404415,0.010819473689412091,0.21996779685138187,0.049186625698315806,0.005483942655286875,-0.0041575728909449775,-0.009988773627045509,-56.2991388992706
0.5,permuted,33,core,517,1795.252540688272,0.002147670522394225,0.08490264528974972,0.025295684428498166,0.0010778526513361003,8.483772675717129e-05,-0.0021459942294609646,-43.868050595362426
0.5,permuted,33,exterior,216,747.2510779208824,0.002042048817785849,0.01849664632865962,0.11040103062476778,0.0010209640138346796,-3.6087623864008375e-05,-0.0020417299178942436,-45.506299399502545
0.5,permuted,34,inner,37,131.25831578912408,0.057698651785926876,0.24758315028107286,0.23304757096928255,0.029684056624924224,0.008414521692630995,-0.057081785558949404,-40.807162936544366
0.5,permuted,34,domain,127,445.46025416085104,0.009623618856193976,0.2153709251632132,0.04468392773491115,0.0048907061517645565,-0.00934087821604255,-0.0023156066251317354,-83.03851947173065
0.5,permuted,34,core,517,1796.469769719437,0.0016715425437776133,0.09004763828356463,0.018562869339380565,0.0008397755197605191,-0.00063420414486937,-0.0015465573310708676,-56.148648329342016
0.5,permuted,34,exterior,216,746.9809572951006,0.0015452958379873634,0.02069026196818435,0.07468710837801774,0.0007725931243214259,-0.0007613230748005247,-0.0013447402733157592,-59.75815857703179
0.5,permuted,35,inner,37,125.53283322972422,0.08580227954305057,0.2665845821013822,0.3218576215725032,0.04315314637120776,-0.026789594898681685,-0.08151287493364666,-54.09667762598053
0.5,permuted,35,domain,127,444.7434960166892,0.003592716784920296,0.2124836683262385,0.016908201996043242,0.0018156087059295596,-0.003487586344018512,0.0008627603315310785,83.05255456717254
0.5,permuted,35,core,517,1793.9772397859037,0.002922083158447151,0.07998755025426231,0.03653172461412445,0.0014648943930787245,-0.0018584072589989914,-0.0022549706083628525,-64.74661799465099
0.5,permuted,35,exterior,216,747.5473403394268,0.0030524519311251135,0.012355894583305618,0.2470441869299665,0.0015261788555770582,-0.001839020040234189,-0.0024362816100456193,-63.52361162516523
0.5,permuted,36,inner,37,130.76134317920653,0.010643871845074534,0.250202762407429,0.04254098453054688,0.005511372239317324,0.005047531323267239,-0.009370935673400305,-30.8457288432694
0.5,permuted,36,domain,127,445.3837201740716,0.002448101335901838,0.23347456326863752,0.010485516287635303,0.001242056480805986,0.002347986571258822,-0.0006929352148885216,-8.221163057722233
0.5,permuted,36,core,517,1795.9741233155532,0.0050830931707033615,0.08305655349169241,0.06120038644767253,0.002552668107847127,0.0018177045841736247,-0.00474697653530385,-34.52361915211568
0.5,permuted,36,exterior,216,747.1044581214524,0.005060303944919282,0.013358480503577371,0.37880834901575405,0.0025300884481932804,0.001868043504081425,-0.004702880976786979,-34.16820065794319
0.5,permuted,37,inner,37,132.16672759186866,0.07629418316171552,0.24628608941726862,0.3097786941285774,0.038873484722507824,0.0742732124573308,-0.017443975910944074,-6.608536535068869
0.5,permuted,37,domain,127,446.993195194186,0.008989784480050627,0.20088303743255256,0.04475133687217862,0.004564891554602768,0.008281828099106388,0.0034967911482687965,11.44533244192529
0.5,permuted,37,core,517,1795.2254265222805,0.0009407310709821992,0.08182929688615376,0.011496262424092503,0.00047210805976996497,0.000790640478408052,-0.0005097671839320399,-16.40599407944272
0.5,permuted,37,exterior,216,747.2774320085232,0.0008175007470493738,0.017986637569030198,0.045450448640660064,0.00040872479289854664,0.0007310593188631336,-0.00036586847873198265,-13.293145419974008
0.5,permuted,38,inner,37,125.61392705029706,0.046558859606588426,0.22280856888247202,0.20896350548863982,0.023385351536913353,-0.044525393353011616,0.013609436234671887,81.50196685925042
0.5,permuted,38,domain,127,446.7583236760748,0.009754711215225137,0.2035513858021201,0.04792259790708601,0.004976398007347337,-0.00630827224239836,-0.007440436291523867,-65.14624469793588
0.5,permuted,38,core,517,1795.4361330124138,0.0016442768202803578,0.07630262337681995,0.02154941399799727,0.0008253487910998708,0.001468848302879695,0.0007390067150159894,13.353937662214765
0.5,permuted,38,exterior,216,747.1811519228885,0.0015944015445955408,0.013354915022780448,0.11938687306327704,0.0007971697113524054,0.0014085971300641597,0.0007469741699574751,13.96842606271119
0.5,permuted,39,inner,37,137.22019644545696,0.08313861146649713,0.28867988276455897,0.2879958612644414,0.04335174043312814,-0.0667993957609802,-0.04949615583603547,-71.73138520866341
0.5,permuted,39,domain,127,444.68736029359377,0.010462484793315366,0.2512674649253193,0.04163883611602873,0.005322321666420429,0.0024846445086843193,0.01016317517884151,38.131033853872836
0.5,permuted,39,core,517,1796.4060022548251,0.0018975327569139358,0.09605018987917183,0.01975563774835816,0.0009532708143508169,-0.0016596341723743718,0.0009199157447552659,75.50045554394733
0.5,permuted,39,exterior,216,746.9805498964587,0.0019387610892694022,0.015858182824088594,0.12225619484752202,0.0009693424307821529,-0.0016108091565074562,0.0010789292945215718,73.09279775077906
0.75,coherent,0,inner,37,129.2600462101081,0.09427905820876932,0.09427943987150827,0.9999959517924641,0.04998447899945215,0.09427905820876932,-2.0983557131583423e-15,-6.376120453754922e-13
0.75,coherent,0,domain,127,443.5866948708194,0.08651599465906004,0.08827267066671945,0.9800994351435011,0.04541206183627,0.08651599465906004,-5.276595801295664e-16,-1.7472299243746392e-13
0.75,coherent,0,core,517,1801.0060899921891,0.07718760357405602,0.08279296071457415,0.9322966941616884,0.03905841743470644,0.07718760357405602,5.449382760126563e-16,2.0225179863696912e-13
0.75,coherent,0,exterior,216,748.9061901203868,0.074426432197622,0.07810421619413858,0.9529118378529662,0.03718126725363367,0.074426432197622,5.579977198502436e-16,2.14781989283397e-13
0.75,permuted,0,inner,37,136.81774654423654,0.03712929976347747,0.3929784706604066,0.09448176563230319,0.0193724881766897,0.011341194321797287,0.03535480465624724,36.107340208328196
0.75,permuted,0,domain,127,455.12805789033234,0.00962109842888201,0.3359074155684364,0.02864211381758509,0.004994195020973425,0.0020843199871219695,0.009392611200806715,38.74410391658811
0.75,permuted,0,core,517,1801.8914747591439,0.004680658167266116,0.13578942114756543,0.034469976583665816,0.0023626175832916177,0.002403927458833583,0.0040161789864821655,29.548456395019194
0.75,permuted,0,exterior,216,745.8082644807253,0.004539595746226157,0.02853973445948631,0.15906229795761964,0.0022696117121962477,0.0022875806530859625,0.0039210845814368015,29.870247969498546
0.75,permuted,1,inner,37,128.0876469275071,0.046060278193367464,0.37117288244178287,0.12409386669186925,0.02343225542541972,0.03248936906419781,-0.032649504208498305,-22.57042683558891
0.75,permuted,1,domain,127,448.3227610885594,0.012525373323581739,0.3358200992174698,0.03729786678274601,0.0064704966581011075,-0.011949488586245583,0.0037542908015069385,81.27916107181304
0.75,permuted,1,core,517,1800.1396414948822,0.004920046615586206,0.1329274571482336,0.037013019891741654,0.0024797436202662355,0.0019225279690231415,0.004528878990198903,33.49928772383068
0.75,permuted,1,exterior,216,746.0290777897637,0.004673695624440567,0.030403319789718507,0.1537232005177629,0.002336459537729362,0.0017284056977883522,0.004342354722240879,34.14787638034014
0.75,permuted,2,inner,37,127.13776015052233,0.056195994089167874,0.39877366232349604,0.1409220302106616,0.029251130813374653,-0.044702731730701606,0.034053715325683846,71.3502596962534
0.75,permuted,2,domain,127,452.9367601407329,0.009235233647787215,0.32924345937984534,0.028049862145120414,0.00479839124136397,-0.009218634058273388,0.0005534678209824612,88.28210174940142
0.75,permuted,2,core,517,1801.9474251944102,0.005345012798607516,0.13628349963754574,0.03921980880167373,0.002698114936038603,-0.0008755938571201223,0.005272807337145143,49.71420434740244
0.75,permuted,2,exterior,216,745.7173132471391,0.0052365658753515815,0.034416679730844134,0.1521519773640043,0.002617827733310257,-0.0007836585264314936,0.005177596110247293,49.303357699499855
0.75,permuted,3,inner,37,132.55203607358683,0.0855825901797612,0.40750739993815954,0.21001481247395415,0.04416485280468768,0.045789221581449206,-0.07230302157477173,-28.827039556359498
0.75,permuted,3,domain,127,452.1097403848408,0.01692586505649294,0.34728218806323763,0.048738074218222974,0.008742806840527776,0.01344869430746252,-0.01027703893809078,-18.692921734829792
0.75,permuted,3,core,517,1801.352868715314,0.0038689936370511543,0.13477492457708046,0.028707073286755206,0.0019520278517057732,-0.0003377417421569244,-0.0038542239529050625,-47.50398939759657
0.75,permuted,3,exterior,216,745.8177543938098,0.003837641997896266,0.02757980288079364,0.1391468247428545,0.0019186347938976271,-0.00010011155564162535,-0.0038363359837798694,-45.747414739675854
