name,param,realization,seed,N,P,nb,sum_W_real,sum_W_imag,gap,area
label_disk,10.5,49,2049,332,159.5641109414343,66,-0.1913003847020942,-0.7783682980338499,0.8015316865672133,1149.968456003216
label_rotated_box,3.5,49,2049,48,62.09933349888532,24,-0.3125875704615533,0.3706445431488866,0.4848591203361069,165.46764813120092
label_rotated_box,4.5,49,2049,84,90.43684222358058,36,-0.22371930125310113,-0.03251070360733847,0.22606917437417254,290.2987269162615
label_rotated_box,5.5,49,2049,124,108.68032535217962,44,0.04842976826483625,-0.12736336122722633,0.13626029589459535,429.24890422350296
label_rotated_box,6.5,49,2049,164,122.03344545313618,50,-0.08397282422777508,-0.04719314387483112,0.0963256354122791,567.7655074093099
label_rotated_box,7.5,49,2049,224,150.44463207905426,62,0.11076940204289087,0.042263987999622346,0.11855844596894739,775.7230155771283
label_rotated_box,8.5,49,2049,288,168.62642506382812,70,0.05484981584838122,0.14643365033246983,0.1563691665524037,998.0765960357196
label_rotated_box,9.5,49,2049,364,196.35193477384908,82,0.1630081862792987,0.3317815714535509,0.3696629274761729,1260.764691856878
label_rotated_box,10.5,49,2049,444,210.97001681090524,88,-0.2769698672322045,0.2218018216879577,0.35483567388119475,1537.945398760106
label_box,3,50,2050,36,53.20177064502225,20,0.06240770133740492,0.08125127510342703,0.10245238353572607,124.72190934785664
label_box,4,50,2050,64,71.5528125967275,28,0.04002478521316499,0.013428263409866636,0.042217315044478544,221.63960663067658
label_box,5,50,2050,100,90.131472640398,36,0.050843514980683846,0.027817189317063146,0.05795566440903214,346.7704498935057
label_box,6,50,2050,144,108.8202644332163,44,0.05338627311976074,-0.05225761982494374,0.07470577613134101,498.4529179159928
label_box,7,50,2050,196,127.01413410668435,52,0.00436136772211837,-0.05451115590784322,0.0546853513001126,677.6703358757098
label_box,8,50,2050,256,145.43941652561625,60,0.007162950361610854,-0.004909281973840149,0.008683830225284975,885.5845383614462
label_box,9,50,2050,324,163.99012975140045,68,0.1382303087417922,0.0993035118647296,0.17020224946668505,1121.7420615704527
label_box,10,50,2050,400,182.1203017516007,76,0.008073322086829204,-0.08309754153376413,0.08348880127581985,1385.887439806733
label_disk,3.5,50,2050,32,48.61574989724205,18,0.1688514607949183,-0.00403164048153886,0.168899585368201,111.13251302069469
label_disk,4.5,50,2050,60,66.68107827756978,26,-0.13448458021690213,0.056735022093881385,0.14596220417666209,207.7299806807987
label_disk,5.5,50,2050,88,80.68658612816697,32,0.18449072635193975,-0.1397794326817224,0.2314629946896274,304.6142504977246
label_disk,6.5,50,2050,124,98.83236290877333,40,0.09643052504953964,-0.15358129719123817,0.1813451433269535,429.3727465509039
label_disk,7.5,50,2050,172,113.73966091852881,46,-0.13710704121426476,0.10061275695947336,0.17006254030066748,594.7417663799953
label_disk,8.5,50,2050,216,127.28889301735511,52,0.13631769587333276,-0.2460508325712015,0.2812890442537638,746.7805646067789
label_disk,9.5,50,2050,276,146.16592566606116,60,0.15499686004784863,-0.49297835228780645,0.5167704349603341,955.4075269905202
label_disk,10.5,50,2050,332,158.91939524444214,66,-0.3097958465243096,0.2248702348660034,0.38280554992372445,1149.4721747616288
label_rotated_box,3.5,50,2050,48,62.25558038525911,24,0.17921369807247967,0.3428602793166192,0.3868730033355701,166.33659933224723
label_rotated_box,4.5,50,2050,84,89.50723416903922,36,-0.18815741223834515,-0.006485011565570048,0.18826913489798622,290.3530710984508
label_rotated_box,5.5,50,2050,124,108.79993150950374,44,0.014770229225500309,-0.13950585503865637,0.14028557752470647,428.5518382406474
label_rotated_box,6.5,50,2050,164,121.52258258179134,50,-0.11770045424838393,-0.09134681342604775,0.14898871518799367,566.7472296923062
label_rotated_box,7.5,50,2050,224,150.30135956375707,62,-0.1874080397124871,0.13608526272604698,0.23160520736825926,775.3124692427634
label_rotated_box,8.5,50,2050,288,169.01760010050046,70,0.10413478301483048,-0.0714571383200991,0.12629400480800188,996.6587714248376
label_rotated_box,9.5,50,2050,364,196.08887466625035,82,-0.27197480590201506,-0.2702520099537452,0.38341419369850926,1260.2891075199316
label_rotated_box,10.5,50,2050,444,209.73100785033213,88,-0.046595029470684945,0.11854367845521517,0.12737229083700835,1537.547742166697
label_box,3,51,2051,36,53.08501063915674,20,0.08710703708859313,0.0635921468526364,0.1078498820197816,124.55007314305685
label_box,4,51,2051,64,71.4473565731151,28,0.002608234786065644,0.05344989721075291,0.05351349736785379,221.47141033177664
label_box,5,51,2051,100,89.66411842335425,36,0.024939988853335926,-0.12695898500266206,0.12938542003220724,346.207582875818
label_box,6,51,2051,144,108.78517499194916,44,-0.11640936324767903,0.06557927766187491,0.13361055912757558,498.768677928222
label_box,7,51,2051,196,127.06325622869056,52,0.0773261038059343,-0.007887747483588392,0.0777273625576668,678.1591030912222
label_box,8,51,2051,256,145.22664915350094,60,-0.12397037425637647,0.004977507893258418,0.12407025944235589,886.1119133371438
label_box,9,51,2051,324,164.08503785467474,68,0.019172010215609436,-0.05868024715833933,0.06173279017079354,1123.063275663487
label_box,10,51,2051,400,183.0400289366812,76,0.16601008814364748,0.013476639628325432,0.16655620427091078,1386.6108185553708
label_disk,3.5,51,2051,32,48.306759596436414,18,-0.08845531051956002,-0.12578051698090542,0.15376956919721022,110.59413613435964
label_disk,4.5,51,2051,60,66.97684578662293,26,-0.12668509633232805,-0.0227895148019837,0.128718590800401,207.92319807916536
label_disk,5.5,51,2051,88,80.87220150983035,32,-0.0043873266915515075,0.1057959870398473,0.10588691849909478,304.6507997725642
label_disk,6.5,51,2051,124,99.10387367476156,40,-0.08495633689396564,-0.16654653519098062,0.1869634391065845,429.42916371655593
label_disk,7.5,51,2051,172,113.27313195126597,46,0.12995542159909323,0.0592921225917879,0.14284245658920067,595.4366139384882
label_disk,8.5,51,2051,216,126.93502247208738,52,-0.1604812721075839,0.09485329935113498,0.18641723926467854,748.1529696612168
label_disk,9.5,51,2051,276,145.63580656928738,60,0.02426808341614972,0.2619304488227413,0.26305227597034,955.761124205639
label_disk,10.5,51,2051,332,159.53956072695746,66,0.4113173161527772,-0.40427375338367666,0.5767314819238235,1150.2285823845593
label_rotated_box,3.5,51,2051,48,62.28405839356308,24,0.20509783459311492,0.2106140506438886,0.293978570789456,166.63193352672258
label_rotated_box,4.5,51,2051,84,90.16507115721429,36,-0.45053643344350736,0.019935916534050233,0.45097729280757426,291.0428674065317
label_rotated_box,5.5,51,2051,124,108.58856425357163,44,0.025011655914135122,0.07018252759334667,0.07450617498541955,429.46111795573506
label_rotated_box,6.5,51,2051,164,122.18753658077843,50,0.0635515166613212,0.039583764123576906,0.07487102010888565,568.1585436540842
label_rotated_box,7.5,51,2051,224,149.94337172701492,62,-0.26003231165641205,-0.11160399914400862,0.2829704149382286,775.5879796054361
label_rotated_box,8.5,51,2051,288,169.20084937420373,70,-0.1426943909547509,-0.2672028065040678,0.3029175284026951,997.3004035904178
label_rotated_box,9.5,51,2051,364,196.7974910866425,82,0.023294223525924362,0.4809732705171662,0.48153702640778817,1260.912745174942
label_rotated_box,10.5,51,2051,444,210.35252131707108,88,-0.5318557462198159,0.22620858737310573,0.5779626802730201,1539.3485482515637
label_box,3,52,2052,36,53.063433592346094,20,-0.04430702982475987,-0.09893111127436782,0.10839962024782886,124.76506042166075
label_box,4,52,2052,64,71.63293816846391,28,-0.02338233816746138,-0.00485957522050548,0.023881985041057038,221.97764778666922
label_box,5,52,2052,100,90.09503657483958,36,0.045204252442823556,-0.08730778310563055,0.09831619108638387,347.002725531241
label_box,6,52,2052,144,108.85755651808896,44,0.00035791580217159336,0.11392182547978952,0.11392238772238346,498.61728336176935
label_box,7,52,2052,196,126.69920591611248,52,-0.06362453874999696,-0.03461395501724664,0.0724307104278692,678.3618544445645
label_box,8,52,2052,256,145.63639188076465,60,-0.01449824605151706,0.0028429376427343625,0.014774350510625029,886.959145347149
label_box,9,52,2052,324,164.08143684103987,68,0.013049144008407954,-0.09639428510656078,0.09727352343036154,1122.5309502752204
label_box,10,52,2052,400,182.30738762347556,76,-0.013982200428353408,-0.03828486359709905,0.04075822259945994,1387.1046853482544
label_disk,3.5,52,2052,32,48.67948140223602,18,0.04645687749373506,0.0072304970523739825,0.047016183959274024,110.60850634150547
label_disk,4.5,52,2052,60,67.02724113578603,26,0.015121693980391981,0.12363668678484012,0.12455800234416609,208.24734645637366
