epsilon,psi_rad,delta,leading,ratio,area
0.0012930994907358003,0.0,9.653910180151826e-07,9.65391018343261e-07,0.99999999966016,0.8660249210889293
0.0012930994907358003,0.5235987755982988,9.653920943923942e-07,9.65391018343261e-07,1.0000011146251753,0.8660249210889294
0.0014607193924760504,0.0,1.2318929296650794e-06,1.2318929296020391e-06,1.0000000000511735,0.8660247878379739
0.0014607193924760504,0.5235987755982988,1.2318946819165594e-06,1.2318929296020391e-06,1.000001422456837,0.8660247878379739
0.0016500672677099918,0.0,1.5719642726397254e-06,1.5719642726817903e-06,0.9999999999732405,0.8660246178023023
0.0016500672677099918,0.5235987755982988,1.5719671260143127e-06,1.5719642726817903e-06,1.0000018151382777,0.8660246178023021
0.0018639596365956756,0.0,2.0059143250872324e-06,2.005914325189171e-06,0.9999999999491809,0.8660244008272759
0.0018639596365956756,0.5235987755982988,2.0059189712602407e-06,2.005914325189171e-06,1.0000023161861955,0.8660244008272759
0.0021055781148120547,0.0,2.5596588610898863e-06,2.5596588611614292e-06,0.9999999999720498,0.8660241239550082
0.0021055781148120547,0.5235987755982988,2.5596664263542442e-06,2.5596588611614292e-06,1.0000029555472918,0.866024123955008
0.0023785167395967513,0.0,3.2662678575157145e-06,3.2662678576286443e-06,0.9999999999654254,0.8660237706505098
0.0023785167395967513,0.5235987755982988,3.2662801765238133e-06,3.2662678576286443e-06,1.0000037715508054,0.86602377065051
0.00268683543049028,0.0,4.167940454546937e-06,4.16794045474374e-06,0.9999999999527817,0.8660233198142112
0.00268683543049028,0.5235987755982988,4.167960513777747e-06,4.16794045474374e-06,1.0000048126968764,0.8660233198142114
0.0030351203800069912,0.0,5.318525115316497e-06,5.3185251153595025e-06,0.999999999991914,0.866022744521881
0.0030351203800069912,0.5235987755982988,5.318557778484306e-06,5.3185251153595025e-06,1.0000061413877146,0.8660227445218811
0.003428552272534545,0.0,6.7867354891504306e-06,6.78673548959062e-06,0.9999999999351398,0.8660220104166938
0.003428552272534545,0.5235987755982988,6.786788675457522e-06,6.78673548959062e-06,1.0000078367378518,0.8660220104166939
0.0038729833462074173,0.0,8.660254037562432e-06,8.660254037844388e-06,0.9999999999674424,0.8660210736574196
0.0038729833462074173,0.5235987755982988,8.66034064137089e-06,8.660254037844388e-06,1.0000100001138676,0.8660210736574202
0.004375024444037806,0.0,1.1050968483306e-05,1.1050968483305967e-05,1.000000000000003,0.866019878300197
